,prefix,input_text,target_text,doi
1,,"Four out of 52 studies, including 128 CCS, assessed the prevalence of hypomagnesaemia, which ranged between 13.2% and 28.6%.",میزان شیوع آن بین 13.2% تا 28.6% بود.,10.1002/14651858.CD008944.pub3
2,,Seven RCTs including 960 participants were identified.,هفت کارآزمایی تصادفی‌سازی و کنترل شده را شامل 960 شرکت‌کننده آنالیز کردیم که جایگذاری درن را با عدم انجام آن پس از لنفادنکتومی آگزیلاری در روند مدیریت درمانی سرطان پستان مقایسه کردند.,10.1002/14651858.CD006823.pub2
3,,"Brackets (metal squares) are usually attached to teeth other than molars, where bands (metal rings that go round each tooth) are more commonly used.",براکت‌ها (مربع‌های فلزی) معمولا به دندان‌هایی غیر از دندان‌های مولر متصل می‌شوند، برای مولرها بیشتر از بندها (حلقه‌های فلزی که هر دندان را می‌پوشاند) استفاده می‌شوند.,10.1002/14651858.CD008236.pub3
4,,"One study, the European Organisation for Research and Treatment of Cancer (EORTC) trial, demonstrated a statistically significant overall survival (OS) benefit for RT plus PCV, with a median OS of 3.5 years compared with 2.6 years in the RT alone arm (P value = 0.018).",یک مطالعه توانست فواید قابل توجهی را برای بقای بیماران با افزودن شیمی‌درمانی به رادیوتراپی پس از جراحی، در مقایسه با رادیوتراپی تنها نشان دهد.,10.1002/14651858.CD007104.pub2
5,,"We were unable to pool data for dental aesthetics, patient-reported pain and discomfort, periodontal health and treatment time; however, individual studies did not find any differences between the surgical techniques (low- to very low-quality evidence).",ما نمی‌توانستیم نتایج مطالعات را برای سایر پیامدها ترکیب کنیم، اما مطالعات مجزا شواهدی را از تفاوت بین دو روش برای درد، ناراحتی، ظاهر، سلامت لثه، طول مدت درمان یا هزینه نشان ندادند (شواهد با کیفیت پائین تا بسیار پائین).,10.1002/14651858.CD006966.pub3
6,,"Results are based upon the findings of several (five) trials that included an ""open lung ventilation strategy"", whereby the intervention group differed from the control group in aspects other than the recruitment manoeuvre (including co-interventions such as higher PEEP, different modes of ventilation and higher plateau pressure), making interpretation of the results difficult.",عمدتا به دلیل طراحی کارآزمایی‌های وارد شده، کیفیت بسیاری از شواهد پیامدها را در سطح پائین تا متوسط در نظر گرفتیم.,10.1002/14651858.CD006667.pub3
8,,"Although low-quality evidence suggests that professional oral care could reduce mortality due to pneumonia in nursing home residents when compared to usual care, this finding must be considered with caution.",شواهد مربوط به مرگ‌ومیر به هر علتی قطعی نبود، اما مطالعات نشان می‌دهند که مراقبت حرفه‌ای در مقایسه با مراقبت‌های معمول از دهان ممکن است تعداد مرگ‌ومیرهای ناشی از پنومونی را، که پس از 24 ماه اندازه‌گیری شدند، کاهش دهد.,10.1002/14651858.CD012416.pub2
9,,"Treatment with ACEi or ARB (2 studies, 1368 participants: RR 0.90, 95% CI 0.43 to 1.90; I2 = 97%; very low certainty evidence) had uncertain effects on hospitalisation for heart failure, as treatment estimates were consistent with either benefit or harm.",اگرچه روش‌های درمانی مختلف زیادی مورد بررسی قرار گرفتند، متاسفانه، تعداد کمی از آن‌ها نوع مشابهی را از دارو ارزیابی کردند.,10.1002/14651858.CD012466.pub2
10,,"NHAP may be caused by aspiration of oropharyngeal flora into the lung, and by failure of the individual's defence mechanisms to eliminate the aspirated bacteria.",اینطور تصور می‌شود که بهداشت نامناسب دهان احتمالا در ابتلا به عفونت کمک می‌کند.,10.1002/14651858.CD012416.pub2
11,,A non-eligible study also found long follow-up time as risk factor.,سایر عوامل خطرساز گزارش‌شده شامل زمان پیگیری و رادیاسیون در ناحیه کلیه یا TBI بود.,10.1002/14651858.CD008944.pub3
12,,"We could not say whether more people who had a remote check-up needed oral corticosteroids for an asthma exacerbation than those who were seen face-to-face because the confidence intervals (CIs) were very wide (OR 1.74, 95% CI 0.41 to 7.44; 278 participants; one study; low quality evidence).",نمی‌توانیم بگوییم افرادی که معاینه از طریق تلفن یا اینترنت داشتند، نسبت به کسانی که رو-در-رو ویزیت شده بودند، به مقدار بیشتر یا کمتر کورتیکواستروئید خوراکی برای حمله آسم نیاز داشتند، و از نتایج به چند دلیل مطمئن نبودیم.,10.1002/14651858.CD011715.pub2
15,,"Cochrane Oral Health’s Information Specialist searched the following databases: Cochrane Oral Health’s Trials Register (to 15 November 2017), the Cochrane Central Register of Controlled Trials (CENTRAL) (the Cochrane Library, 2017, Issue 10), MEDLINE Ovid (1946 to 15 November 2017), and Embase Ovid (1980 to 15 November 2017) and Cumulative Index to Nursing and Allied Health Literature (CINAHL; 1937 to 15 November 2017).",این مرور از طریق گروه سلامت دهان در کاکرین انجام شد.,10.1002/14651858.CD012416.pub2
16,,We also searched registers of clinical trials and abstracts of scientific meetings.,ما بانک اطلاعاتی الکترونیکی و سایر منابع را برای یافتن کارآزمایی‌های تصادفی‌سازی و کنترل شده (randomised controlled trials; RCTs) که آگونیست LHRH را با شیمی‌درمانی یا دارونما در زنان با عود EOC مقایسه کرده بودند، جست‌وجو کردیم. دو RCT تشخیص داده شد.,10.1002/14651858.CD011322.pub2
17,,No studies evaluated oral care versus no oral care.,هیچ مطالعه‌ای مراقبت از دهان را در برابر عدم مراقبت از دهان ارزیابی نکرد.,10.1002/14651858.CD012416.pub2
18,,"However, these interventions are of uncertain benefit and may increase the risk of harm, such as hypotension and electrolyte abnormalities, in those with CKD.",مطالعات موجود واقعا نمی‌توانند به ما بگویند داروهایی که برای درمان نارسایی قلبی در جمعیت عمومی استفاده می‌شوند، برای بیمارانی که هم مبتلا به نارسایی قلبی و هم بیماری مزمن کلیه هستند، موثر یا ایمن ظاهر می‌شوند یا خیر.,10.1002/14651858.CD012466.pub2
19,,All trials used probiotics as adjuvant therapy to antifungal drugs.,سه کارآزمایی شیاف واژینال مایکونازول (miconazole) (داروی ضد-قارچ) به همراه کپسول واژینال پروبیوتیک را با شیاف واژینال مایکونازول به تنهایی مورد مقایسه قرار دادند.,10.1002/14651858.CD010496.pub2
20,,"Furthermore, with retrospective evaluation of biomarkers, codeletion of complete chromosome arms 1p and 19q and IDH-1 or -2 mutation were independent prognostic factors for OS in two of the RCTs (Radiation Therapy Oncology Group (RTOG) and EORTC), and were predictive for OS in one trial (RTOG).",علاوه بر این، در یک مطالعه، این حذف‌ها و جهش‌های خاص کروموزومی پیش‌بینی کرد که کدام گروه از شرکت‏‌کنندگان از افزودن شیمی‌درمانی به رادیوتراپی پس از جراحی سود می‌برند.,10.1002/14651858.CD007104.pub2
21,,No studies reported on adverse events (other than miscarriage) or drug reactions.,هیچ مطالعه‌ای گزارش عوارض جانبی (به غیر از سقط جنین) یا واکنش‌های دارویی ارائه نداده بود.,10.1002/14651858.CD008720.pub2
22,,"The effects of ACEi or ARB, or aldosterone antagonists on worsening heart failure or kidney function, hypotension, or quality of life were uncertain due to sparse data or were not reported.",مطالعات موجود واقعا نمی‌توانند به ما بگویند داروهایی که برای درمان نارسایی قلبی در جمعیت عمومی استفاده می‌شوند، برای بیمارانی که هم مبتلا به نارسایی قلبی و هم بیماری مزمن کلیه هستند، موثر یا ایمن ظاهر می‌شوند یا خیر.,10.1002/14651858.CD012466.pub2
23,,We downgraded the evidence for the pneumonia outcome to low.,شواهد را برای مرگ‌ومیر یا ناتوانی شدید با کیفیت بسیار پائین، و شواهد را برای پنومونی با کیفیت پائین ارزیابی کردیم.,10.1002/14651858.CD001048.pub5
25,,"The prevalence of adverse renal effects after treatment with cisplatin, carboplatin, ifosfamide, radiation therapy involving the kidney region, nephrectomy, or any combination of these, ranged from 0% to 84% depending on the study population, received treatment combination, reported outcome measure, follow-up duration and methodological quality.",مطالعات از نظر نوع شرکت‌کنندگان و درمان‌ها، مدت زمان پیگیری و نحوه اندازه‌گیری نتایج درمان با یکدیگر بسیار متفاوت بوده و روش‌های آنها کیفیت متغیری داشتند.,10.1002/14651858.CD008944.pub3
27,,"However, long-term studies had equivocal or conflicting results regarding the effect on this outcome (low- to moderate-quality evidence).",با این حال، میزان شعله‌ور شدن‌های علائم تنفسی در افراد استفاده کننده از PEP در مقایسه با سایر انواع فیزیوتراپی مانند دستگاه ارتعاشی PEP یا جلیقه ارتعاشی کاهش یافت.,10.1002/14651858.CD003147.pub5
28,,The tooth is then moved into position covered by the palatal mucosa.,کانین به سمت موقعیت خود در زیر لثه حرکت می‌کند.,10.1002/14651858.CD006966.pub3
29,,"We included three studies, involving 146 participants.",نویسندگان گروه سلامت دهان در کاکرین، سه مطالعه مرتبط یافتند که شامل 146 شرکت‌کننده بودند که دندان‌های چشم نهفته در سقف دهان در یک یا هر دو طرف داشتند.,10.1002/14651858.CD006966.pub3
31,,"All studies were conducted in high-income countries, predominantly in the USA (14/24).",برای پاسخ به این سوال، ما به جست‌وجوی همه شواهد به دست آمده از کارآزمایی‌های تصادفی‌سازی و کنترل شده (نوعی مطالعه که در آن شرکت‌کنندگان با استفاده از یک روش تصادفی به یکی از دو یا چند گروه درمان اختصاص داده می‌شوند) پرداختیم و 24 مطالعه را یافتیم که همه آنها در کشورهای با درآمد بالا انجام شدند.,10.1002/14651858.CD012573.pub3
32,,Regular check-ups with a healthcare professional are essential to monitor symptoms and adjust medication.,تماس منظم با یک دکتر یا یک پرستار دوره‌دیده آسم برای پیگیری نشانه‌ها و استفاده از اسپری‌های استنشاقی ضروری است.,10.1002/14651858.CD011715.pub2
33,,Evidence of very low quality indicates no difference in dropouts and adverse events between tDCS and control groups.,نسبت حوادث جانبی و افرادی که مطالعات را ادامه ندادند بین گروه‌ها قابل مقایسه بودند.,10.1002/14651858.CD010916.pub2
35,,"To evaluate the effectiveness of the adhesives used to attach bonded molar tubes, and the relative effectiveness of the adhesives used to attach bonded molar tubes versus adhesives used to attach bands, during fixed appliance treatment, in terms of: (1) how often the tubes (or bands) come off during treatment; and (2) whether they protect the bonded (or banded) teeth against decay.",هر دو کارآزمایی در انگلستان انجام شده و باند لوله‌های مولر را با بند مولر مقایسه کردند.,10.1002/14651858.CD008236.pub3
