,prefix,input_text,target_text,doi
0,,"Compared to standard care, social skills training may improve the social skills of people with schizophrenia and reduce relapse rates, but at present, the evidence is very limited with data rated as very low quality.","Toutefois, à l'heure actuelle, les preuves sont très limitées avec uniquement des données disponibles de très faible qualité.",10.1002/14651858.CD009006.pub2
4,,"Four out of 52 studies, including 128 CCS, assessed the prevalence of hypomagnesaemia, which ranged between 13.2% and 28.6%.","La prévalence variait entre 13,2 % et 28,6 %.",10.1002/14651858.CD008944.pub3
5,,Seven RCTs including 960 participants were identified.,Nous avons analysé sept essais contrôlés randomisés portant sur 960 participantes qui comparaient une insertion de drains avec une absence de drainage après une lymphadénectomie axillaire pour le traitement du cancer du sein.,10.1002/14651858.CD006823.pub2
6,,"Brackets (metal squares) are usually attached to teeth other than molars, where bands (metal rings that go round each tooth) are more commonly used.","Les bagues (carrés métalliques) sont généralement fixées sur les dents autres que les molaires, sur lesquelles des bandes (anneaux métalliques qui font le tour de chaque dent) sont plus souvent utilisées.",10.1002/14651858.CD008236.pub3
7,,Many controlled trials have been undertaken to investigate its efficacy.,La présente revue systématique a relevé un total de 49 essais qui incluaient 3 639 participants atteints de NDP.,10.1002/14651858.CD007796.pub3
8,,"Loss to follow-up from randomised trials can introduce bias and reduce study power, affecting the generalisability, validity and reliability of results.","Les chercheurs appellent cela « la perte du suivi », « les abandons » ou « l'attrition » et cela peut affecter les résultats de l'essai.",10.1002/14651858.MR000032.pub2
9,,"These evaluated social skills programmes versus standard care, or discussion group.",La revue a trouvé des différences significatives en faveur des programmes de compétences sociales par rapport à des soins standards sur toutes les mesures de fonctionnement social.,10.1002/14651858.CD009006.pub2
10,,Milder regimens (using lower doses of steroids) are safe and effective in moderate BP.,Les régimes plus légers de stéroïdes topiques sont sûrs et efficaces en PB modérée.,10.1002/14651858.CD002292.pub3
11,,"Results are based upon the findings of several (five) trials that included an ""open lung ventilation strategy"", whereby the intervention group differed from the control group in aspects other than the recruitment manoeuvre (including co-interventions such as higher PEEP, different modes of ventilation and higher plateau pressure), making interpretation of the results difficult.","Nous avons constaté que la valeur probante des données pour la plupart des critères de jugement était de faible à moyenne, principalement en raison de la conception des essais inclus.",10.1002/14651858.CD006667.pub3
12,,To assess the effects of interventions to alter the length of primary care physicians' consultations.,"Est-ce qu'augmenter ou diminuer le temps que les médecins généralistes dépensent lors de leurs consultations mène à des bénéfices pour les patients, les médecins ou pour le système de santé ?",10.1002/14651858.CD003540.pub3
13,,"Although low-quality evidence suggests that professional oral care could reduce mortality due to pneumonia in nursing home residents when compared to usual care, this finding must be considered with caution.","Les preuves de décès, quelle qu'en soit la cause, n'étaient pas concluantes, mais les études suggèrent que les soins bucco-dentaires professionnels peuvent réduire le nombre de décès causés par la pneumonie, comparativement aux soins bucco-dentaires habituels, lorsque mesurés après 24 mois.",10.1002/14651858.CD012416.pub2
14,,"Treatment with ACEi or ARB (2 studies, 1368 participants: RR 0.90, 95% CI 0.43 to 1.90; I2 = 97%; very low certainty evidence) had uncertain effects on hospitalisation for heart failure, as treatment estimates were consistent with either benefit or harm.","Bien qu'il y ait eu beaucoup de traitements différents étudiés, malheureusement, peu d'entre eux se sont penchés sur le même type de médicament.",10.1002/14651858.CD012466.pub2
17,,"NHAP may be caused by aspiration of oropharyngeal flora into the lung, and by failure of the individual's defence mechanisms to eliminate the aspirated bacteria.",On considère qu'une mauvaise hygiène bucco-dentaire contribue à la probabilité de contracter une infection.,10.1002/14651858.CD012416.pub2
19,,A non-eligible study also found long follow-up time as risk factor.,"Parmi les autres facteurs de risque signalés, mentionnons le temps de suivi et les radiations impliquant le rein ou l’ICT.",10.1002/14651858.CD008944.pub3
20,,"We could not say whether more people who had a remote check-up needed oral corticosteroids for an asthma exacerbation than those who were seen face-to-face because the confidence intervals (CIs) were very wide (OR 1.74, 95% CI 0.41 to 7.44; 278 participants; one study; low quality evidence).","Nous ne pouvons pas dire si les personnes qui ont subi un examen par téléphone ou par internet avaient plus ou moins besoin de corticostéroïdes oraux pour une crise d'asthme que celles qui ont été vues en face à face, et nous sommes incertains du résultat pour plusieurs raisons.",10.1002/14651858.CD011715.pub2
22,,"In less severe cases, non-surgical interventions may be considered, however few medical alternatives are currently available.","Dans les cas moins graves, des interventions non chirurgicales peuvent être envisagées. Il n'existe cependant que peu d'alternatives médicales.",10.1002/14651858.CD006286.pub2
23,,"We included seven studies, with 766 participants: four used intracutaneous injections, two subcutaneous, and one both.","La revue comprenait sept études avec un total 766 participants ; quatre utilisaient des injections intradermiques, deux des sous-cutanées et une utilisait les deux.",10.1002/14651858.CD009107.pub2
