,prefix,input_text,target_text,doi
0,,"Compared to standard care, social skills training may improve the social skills of people with schizophrenia and reduce relapse rates, but at present, the evidence is very limited with data rated as very low quality.","Sin embargo, actualmente las pruebas son muy limitadas y solamente hay datos de muy baja calidad disponibles.",10.1002/14651858.CD009006.pub2
4,,"Four out of 52 studies, including 128 CCS, assessed the prevalence of hypomagnesaemia, which ranged between 13.2% and 28.6%.","La prevalencia osciló entre el 13,2% y el 28,6%.",10.1002/14651858.CD008944.pub3
5,,"Brackets (metal squares) are usually attached to teeth other than molars, where bands (metal rings that go round each tooth) are more commonly used.","Los brackets (cuadrados de metal) se sujetan generalmente a los dientes y no así a los molares, donde se usan más comúnmente bandas (anillos de metal que rodean cada pieza).",10.1002/14651858.CD008236.pub3
7,,"One study, the European Organisation for Research and Treatment of Cancer (EORTC) trial, demonstrated a statistically significant overall survival (OS) benefit for RT plus PCV, with a median OS of 3.5 years compared with 2.6 years in the RT alone arm (P value = 0.018).","Un estudio pudo demostrar un beneficio significativo en la supervivencia para el agregado de quimioterapia a la radioterapia después de la cirugía, en comparación con la radioterapia sola.",10.1002/14651858.CD007104.pub2
9,,"We were unable to pool data for dental aesthetics, patient-reported pain and discomfort, periodontal health and treatment time; however, individual studies did not find any differences between the surgical techniques (low- to very low-quality evidence).","No fue posible combinar los resultados de los estudios para otros resultados, aunque los estudios individuales no mostraron evidencia de una diferencia entre las dos técnicas para el dolor, el malestar, la apariencia, la salud de las encías, la duración del periodo de tratamiento ni el costo (evidencia de calidad baja a muy baja).",10.1002/14651858.CD006966.pub3
10,,Milder regimens (using lower doses of steroids) are safe and effective in moderate BP.,Regímenes más leves de esteroides tópicos son seguros y efectivos en la presión arterial moderada.,10.1002/14651858.CD002292.pub3
15,,"We could not say whether more people who had a remote check-up needed oral corticosteroids for an asthma exacerbation than those who were seen face-to-face because the confidence intervals (CIs) were very wide (OR 1.74, 95% CI 0.41 to 7.44; 278 participants; one study; low quality evidence).","No es posible establecer si los pacientes que recibieron un chequeo por teléfono o Internet presentaron más o menos probabilidades de necesitar corticosteroides orales por una crisis asmática que los que realizaron una consulta presencial, y no existe seguridad en cuanto al resultado por varias razones.",10.1002/14651858.CD011715.pub2
19,,"In less severe cases, non-surgical interventions may be considered, however few medical alternatives are currently available.","En los casos menos graves se pueden considerar las intervenciones no quirúrgicas; sin embargo, actualmente hay pocas opciones médicas disponibles.",10.1002/14651858.CD006286.pub2
20,,"We included seven studies, with 766 participants: four used intracutaneous injections, two subcutaneous, and one both.","La revisión incluyó siete estudios con 766 participantes; cuatro utilizaron inyecciones intracutáneas, dos subcutáneas y uno ambas.",10.1002/14651858.CD009107.pub2
23,,Properly designed and executed randomised trials are necessary.,Se necesitan ensayos aleatorios adecuadamente diseñados y realizados.,10.1002/14651858.CD007876.pub2
