,prefix,input_text,target_text,doi
0,,"Compared to standard care, social skills training may improve the social skills of people with schizophrenia and reduce relapse rates, but at present, the evidence is very limited with data rated as very low quality.","Toutefois, à l'heure actuelle, les preuves sont très limitées avec uniquement des données disponibles de très faible qualité.",10.1002/14651858.CD009006.pub2
4,,"Four out of 52 studies, including 128 CCS, assessed the prevalence of hypomagnesaemia, which ranged between 13.2% and 28.6%.","La prévalence variait entre 13,2 % et 28,6 %.",10.1002/14651858.CD008944.pub3
5,,"Brackets (metal squares) are usually attached to teeth other than molars, where bands (metal rings that go round each tooth) are more commonly used.","Les bagues (carrés métalliques) sont généralement fixées sur les dents autres que les molaires, sur lesquelles des bandes (anneaux métalliques qui font le tour de chaque dent) sont plus souvent utilisées.",10.1002/14651858.CD008236.pub3
6,,Milder regimens (using lower doses of steroids) are safe and effective in moderate BP.,Les régimes plus légers de stéroïdes topiques sont sûrs et efficaces en PB modérée.,10.1002/14651858.CD002292.pub3
10,,"We could not say whether more people who had a remote check-up needed oral corticosteroids for an asthma exacerbation than those who were seen face-to-face because the confidence intervals (CIs) were very wide (OR 1.74, 95% CI 0.41 to 7.44; 278 participants; one study; low quality evidence).","Nous ne pouvons pas dire si les personnes qui ont subi un examen par téléphone ou par internet avaient plus ou moins besoin de corticostéroïdes oraux pour une crise d'asthme que celles qui ont été vues en face à face, et nous sommes incertains du résultat pour plusieurs raisons.",10.1002/14651858.CD011715.pub2
12,,"In less severe cases, non-surgical interventions may be considered, however few medical alternatives are currently available.","Dans les cas moins graves, des interventions non chirurgicales peuvent être envisagées. Il n'existe cependant que peu d'alternatives médicales.",10.1002/14651858.CD006286.pub2
13,,"We included seven studies, with 766 participants: four used intracutaneous injections, two subcutaneous, and one both.","La revue comprenait sept études avec un total 766 participants ; quatre utilisaient des injections intradermiques, deux des sous-cutanées et une utilisait les deux.",10.1002/14651858.CD009107.pub2
16,,No studies evaluated oral care versus no oral care.,Aucune des études n'a évalué les soins buccodentaires par rapport à l'absence de soins buccodentaires.,10.1002/14651858.CD012416.pub2
18,,"We judged the risk of bias to be high for both studies and the overall quality of the evidence was low/very low for all outcomes, as assessed using the GRADE approach.","Cependant, le nombre d'études incluses est limité et la qualité des preuves est faible ou très faible pour tous les critères de jugement.",10.1002/14651858.CD009853.pub2
23,,"All were conducted in the UK, and tested short-term changes in the consultation time allocated to each patient.",Toutes les études ont évalué des modifications à court terme du temps de consultation assigné à chaque patient.,10.1002/14651858.CD003540.pub3
27,,"The choice of IM or IV route of administration will depend on the available preparations, the dose to be administered and also on the patients' preferences.","Le choix de la voie d'administration intramusculaire ou intraveineuse dépendra des préparations disponibles, de la dose à administrer et de la préférence de la femme.",10.1002/14651858.CD007885.pub2
29,,"Standard treatment comprises internal widening of the strictured area by simple dilatation or by telescope-guided internal cutting (optical urethrotomy), but these interventions are associated with a high failure rate requiring repeated treatment.",Le traitement standard consiste à élargir le segment sténosé à l'aide d'instruments introduits dans l'urètre (« dilatation urétrale » ou « urétrotomie »).,10.1002/14651858.CD006934.pub3
32,,"From these, we identified 15 national initiatives, including more than 260,000 people, that met the inclusion criteria.",Des initiatives provenant de 15 pays différents remplissaient les critères d'inclusion.,10.1002/14651858.CD010166.pub2
34,,"We included randomised controlled trials (RCTs) that compared yoga with usual care (or no intervention) or sham intervention in people with asthma and reported at least one of the following outcomes: quality of life, asthma symptom score, asthma control, lung function measures, asthma medication usage, and adverse events.",Nous avons examiné 15 études qui comparaient les effets du yoga avec le traitement habituel ou un yoga « simulé » chez 1048 participants.,10.1002/14651858.CD010346.pub2
38,,There were 34 studies (2169 participants with blepharitis) included in this review: 20 studies (14 RCTs and 6 CCTs) included 1661 participants with anterior or mixed blepharitis and 14 studies (12 RCTs and 2 CCTs) included 508 participants with posterior blepharitis (MGD).,"Il y avait 34 études (2 169 participants atteints de blépharite) inclus dans la revue, dont 20 portaient sur des personnes présentant une blépharite antérieure et 14 sur des personnes souffrant de blépharite postérieure.",10.1002/14651858.CD005556.pub2
39,,The two case-control studies were of medium methodological quality.,La majorité des études étaient de qualité méthodologique moyenne à élevée.,10.1002/14651858.CD009350.pub2
41,,"For selection outcomes, meta-analysis of three comparisons from three studies (n = 154) found that exposure to fewer options resulted in a large reduction in selection of the targeted food(s): SMD −1.13 (95% confidence interval (CI) −1.90 to −0.37) (low certainty evidence).","Toutefois, la certitude des données probantes de ces effets était faible.",10.1002/14651858.CD012573.pub3
