,prefix,input_text,target_text,doi
0,,"Compared to standard care, social skills training may improve the social skills of people with schizophrenia and reduce relapse rates, but at present, the evidence is very limited with data rated as very low quality.","However, at the moment evidence is very limited with data only of very low quality available.",10.1002/14651858.CD009006.pub2
4,,"Four out of 52 studies, including 128 CCS, assessed the prevalence of hypomagnesaemia, which ranged between 13.2% and 28.6%.",Prevalence ranged between 13.2% and 28.6%.,10.1002/14651858.CD008944.pub3
5,,"Brackets (metal squares) are usually attached to teeth other than molars, where bands (metal rings that go round each tooth) are more commonly used.","Brackets (metal squares) are usually attached to teeth other than molars, where bands (metal rings that go round each tooth) are more commonly used.",10.1002/14651858.CD008236.pub3
7,,"One study, the European Organisation for Research and Treatment of Cancer (EORTC) trial, demonstrated a statistically significant overall survival (OS) benefit for RT plus PCV, with a median OS of 3.5 years compared with 2.6 years in the RT alone arm (P value = 0.018).","One study was able to demonstrate a significant survival benefit for the addition of chemotherapy to radiotherapy after surgery, compared with radiotherapy alone.",10.1002/14651858.CD007104.pub2
9,,"We were unable to pool data for dental aesthetics, patient-reported pain and discomfort, periodontal health and treatment time; however, individual studies did not find any differences between the surgical techniques (low- to very low-quality evidence).","We were unable to combine results from studies for any other outcomes, but individual studies did not show evidence of a difference between the two techniques for pain, discomfort, appearance, gum health, length of treatment time or cost (low to very low quality evidence).",10.1002/14651858.CD006966.pub3
10,,Milder regimens (using lower doses of steroids) are safe and effective in moderate BP.,Milder regimens of topical steroids are safe and effective in moderate BP.,10.1002/14651858.CD002292.pub3
15,,"We could not say whether more people who had a remote check-up needed oral corticosteroids for an asthma exacerbation than those who were seen face-to-face because the confidence intervals (CIs) were very wide (OR 1.74, 95% CI 0.41 to 7.44; 278 participants; one study; low quality evidence).","We cannot say whether or not people who had a check-up over the phone or internet were more or less likely to need oral corticosteroids for an asthma attack than those seen face-to-face, and we were uncertain of the result for several reasons.",10.1002/14651858.CD011715.pub2
19,,"In less severe cases, non-surgical interventions may be considered, however few medical alternatives are currently available.","In less severe cases, non-surgical interventions may be considered, however few medical alternatives are currently available.",10.1002/14651858.CD006286.pub2
20,,"We included seven studies, with 766 participants: four used intracutaneous injections, two subcutaneous, and one both.","The review included seven studies with 766 participants; four used intracutaneous injections, two subcutaneous, and one both.",10.1002/14651858.CD009107.pub2
23,,Properly designed and executed randomised trials are necessary.,Properly designed and executed randomised trials are necessary.,10.1002/14651858.CD007876.pub2
25,,No studies evaluated oral care versus no oral care.,None of the studies evaluated oral care versus no oral care.,10.1002/14651858.CD012416.pub2
28,,"We judged the risk of bias to be high for both studies and the overall quality of the evidence was low/very low for all outcomes, as assessed using the GRADE approach.","However, the number of included studies is limited and the quality of the evidence is low/very low for all outcomes.",10.1002/14651858.CD009853.pub2
30,,"Antibiotics could be beneficial in preventing LRTIs in high-risk children, and may also help prevent school absenteeism and work days missed by children and/or carers.",Using antibiotics to prevent LRTI in high-risk children aged 12 years and under may be beneficial.,10.1002/14651858.CD011530.pub2
32,,"For the current review we only included studies that were conducted on samples from community settings, and excluded studies that were conducted in primary care or secondary care settings.",Our review focussed on those studies that were conducted in community based settings.,10.1002/14651858.CD010860.pub2
35,,"All were conducted in the UK, and tested short-term changes in the consultation time allocated to each patient.",All studies tested short-term changes in the consultation time allocated to each patient.,10.1002/14651858.CD003540.pub3
37,,No studies reported on adverse events (other than miscarriage) or drug reactions.,No studies reported on adverse events (other than miscarriage) or drug reactions.,10.1002/14651858.CD008720.pub2
40,,"The choice of IM or IV route of administration will depend on the available preparations, the dose to be administered and also on the patients' preferences.","The choice of intramuscular or intravenous route of administration will depend on available preparations, the dose to be administered and the woman's preference.",10.1002/14651858.CD007885.pub2
42,,The tooth is then moved into position covered by the palatal mucosa.,The canine moves into position beneath the gum.,10.1002/14651858.CD006966.pub3
44,,"Standard treatment comprises internal widening of the strictured area by simple dilatation or by telescope-guided internal cutting (optical urethrotomy), but these interventions are associated with a high failure rate requiring repeated treatment.",Standard treatment consists of widening the strictured segment using instruments passed down the urethra (called urethral dilatation or urethrotomy).,10.1002/14651858.CD006934.pub3
48,,"From these, we identified 15 national initiatives, including more than 260,000 people, that met the inclusion criteria.",Initiatives in 15 countries met the inclusion criteria.,10.1002/14651858.CD010166.pub2
50,,"We included randomised controlled trials (RCTs) that compared yoga with usual care (or no intervention) or sham intervention in people with asthma and reported at least one of the following outcomes: quality of life, asthma symptom score, asthma control, lung function measures, asthma medication usage, and adverse events.",We reviewed 15 studies that compared the effects of yoga with usual treatment or a 'sham' yoga in 1048 participants.,10.1002/14651858.CD010346.pub2
59,,There were 34 studies (2169 participants with blepharitis) included in this review: 20 studies (14 RCTs and 6 CCTs) included 1661 participants with anterior or mixed blepharitis and 14 studies (12 RCTs and 2 CCTs) included 508 participants with posterior blepharitis (MGD).,"There were 34 studies (2169 participants with blepharitis) included in the review, 20 of which included participants with anterior blepharitis and 14 of which included participants with posterior blepharitis.",10.1002/14651858.CD005556.pub2
60,,The two case-control studies were of medium methodological quality.,The majority of the studies were of medium to high methodological quality.,10.1002/14651858.CD009350.pub2
63,,"For selection outcomes, meta-analysis of three comparisons from three studies (n = 154) found that exposure to fewer options resulted in a large reduction in selection of the targeted food(s): SMD −1.13 (95% confidence interval (CI) −1.90 to −0.37) (low certainty evidence).","However, the certainty of the evidence for these effects was low.",10.1002/14651858.CD012573.pub3
64,,"In the one study of children with sickle cell disease, a significantly lesser proportion of children with pneumococcal septicaemia was reported with penicillin V prophylaxis (P value = 0.0025).","In one study of children with sickle cell disease, antibiotics reduced the likelihood of contracting blood infections.",10.1002/14651858.CD011530.pub2
67,,The majority of tumours arise from surface of the ovary (epithelial).,Epithelial ovarian cancer (EOC) arises from the cells covering the surface of the ovary.,10.1002/14651858.CD011322.pub2
68,,"For this updated review, we searched the Cochrane Central Register of Controlled Trials (CENTRAL), MEDLINE (OVID), Embase (OVID), the Cumulative Index to Nursing and Allied Health Literature (CINAHL, EBSCO), Latin American and Caribbean Health Sciences (LILACS) and the International Standard Randomized Controlled Trial Number (ISRCTN) registry from inception to August 2016.",Evidence is current to August 2016.,10.1002/14651858.CD006667.pub3
69,,Available evidence from a large RCT trial does not support routine N-acetylcysteine supplementation of cysteine-containing PN in extremely low birth weight infants.,Available evidence does not support routine addition of N-acetylcysteine to intravenous nutrition of newborn infants containing cysteine.,10.1002/14651858.CD004869.pub2
