,prefix,input_text,target_text,doi
1,,"Four out of 52 studies, including 128 CCS, assessed the prevalence of hypomagnesaemia, which ranged between 13.2% and 28.6%.",میزان شیوع آن بین 13.2% تا 28.6% بود.,10.1002/14651858.CD008944.pub3
2,,"Brackets (metal squares) are usually attached to teeth other than molars, where bands (metal rings that go round each tooth) are more commonly used.",براکت‌ها (مربع‌های فلزی) معمولا به دندان‌هایی غیر از دندان‌های مولر متصل می‌شوند، برای مولرها بیشتر از بندها (حلقه‌های فلزی که هر دندان را می‌پوشاند) استفاده می‌شوند.,10.1002/14651858.CD008236.pub3
3,,"One study, the European Organisation for Research and Treatment of Cancer (EORTC) trial, demonstrated a statistically significant overall survival (OS) benefit for RT plus PCV, with a median OS of 3.5 years compared with 2.6 years in the RT alone arm (P value = 0.018).",یک مطالعه توانست فواید قابل توجهی را برای بقای بیماران با افزودن شیمی‌درمانی به رادیوتراپی پس از جراحی، در مقایسه با رادیوتراپی تنها نشان دهد.,10.1002/14651858.CD007104.pub2
4,,"We were unable to pool data for dental aesthetics, patient-reported pain and discomfort, periodontal health and treatment time; however, individual studies did not find any differences between the surgical techniques (low- to very low-quality evidence).",ما نمی‌توانستیم نتایج مطالعات را برای سایر پیامدها ترکیب کنیم، اما مطالعات مجزا شواهدی را از تفاوت بین دو روش برای درد، ناراحتی، ظاهر، سلامت لثه، طول مدت درمان یا هزینه نشان ندادند (شواهد با کیفیت پائین تا بسیار پائین).,10.1002/14651858.CD006966.pub3
6,,"We could not say whether more people who had a remote check-up needed oral corticosteroids for an asthma exacerbation than those who were seen face-to-face because the confidence intervals (CIs) were very wide (OR 1.74, 95% CI 0.41 to 7.44; 278 participants; one study; low quality evidence).",نمی‌توانیم بگوییم افرادی که معاینه از طریق تلفن یا اینترنت داشتند، نسبت به کسانی که رو-در-رو ویزیت شده بودند، به مقدار بیشتر یا کمتر کورتیکواستروئید خوراکی برای حمله آسم نیاز داشتند، و از نتایج به چند دلیل مطمئن نبودیم.,10.1002/14651858.CD011715.pub2
9,,No studies evaluated oral care versus no oral care.,هیچ مطالعه‌ای مراقبت از دهان را در برابر عدم مراقبت از دهان ارزیابی نکرد.,10.1002/14651858.CD012416.pub2
10,,No studies reported on adverse events (other than miscarriage) or drug reactions.,هیچ مطالعه‌ای گزارش عوارض جانبی (به غیر از سقط جنین) یا واکنش‌های دارویی ارائه نداده بود.,10.1002/14651858.CD008720.pub2
13,,The tooth is then moved into position covered by the palatal mucosa.,کانین به سمت موقعیت خود در زیر لثه حرکت می‌کند.,10.1002/14651858.CD006966.pub3
16,,"We included randomised controlled trials (RCTs) that compared yoga with usual care (or no intervention) or sham intervention in people with asthma and reported at least one of the following outcomes: quality of life, asthma symptom score, asthma control, lung function measures, asthma medication usage, and adverse events.",ما 15 مطالعه را مرور کردیم که به مقایسه اثرات یوگا با درمان معمول یا یوگای ساختگی در 1048 شرکت‌کننده پرداخته بودند.,10.1002/14651858.CD010346.pub2
25,,"For selection outcomes, meta-analysis of three comparisons from three studies (n = 154) found that exposure to fewer options resulted in a large reduction in selection of the targeted food(s): SMD −1.13 (95% confidence interval (CI) −1.90 to −0.37) (low certainty evidence).",با این حال، قطعیت شواهد برای این تاثیرات پایین بود.,10.1002/14651858.CD012573.pub3
