,prefix,input_text,target_text,doi
0,,"Compared to standard care, social skills training may improve the social skills of people with schizophrenia and reduce relapse rates, but at present, the evidence is very limited with data rated as very low quality.","However, at the moment evidence is very limited with data only of very low quality available.",10.1002/14651858.CD009006.pub2
4,,"Four out of 52 studies, including 128 CCS, assessed the prevalence of hypomagnesaemia, which ranged between 13.2% and 28.6%.",Prevalence ranged between 13.2% and 28.6%.,10.1002/14651858.CD008944.pub3
5,,Seven RCTs including 960 participants were identified.,We analysed seven randomised controlled trials including 960 participants that compared drain insertion with no drainage after axillary lymphadenectomy for the treatment of breast cancer.,10.1002/14651858.CD006823.pub2
6,,"Brackets (metal squares) are usually attached to teeth other than molars, where bands (metal rings that go round each tooth) are more commonly used.","Brackets (metal squares) are usually attached to teeth other than molars, where bands (metal rings that go round each tooth) are more commonly used.",10.1002/14651858.CD008236.pub3
7,,Many controlled trials have been undertaken to investigate its efficacy.,This systematic review identified a total of 49 trials that included 3639 participants with DPN.,10.1002/14651858.CD007796.pub3
9,,"One study, the European Organisation for Research and Treatment of Cancer (EORTC) trial, demonstrated a statistically significant overall survival (OS) benefit for RT plus PCV, with a median OS of 3.5 years compared with 2.6 years in the RT alone arm (P value = 0.018).","One study was able to demonstrate a significant survival benefit for the addition of chemotherapy to radiotherapy after surgery, compared with radiotherapy alone.",10.1002/14651858.CD007104.pub2
11,,Only seven studies reported live birth or ongoing pregnancy.,"Only seven studies reported our primary outcome of live birth or ongoing pregnancy, and they found no good evidence of a difference between the media compared.",10.1002/14651858.CD007876.pub2
12,,"Loss to follow-up from randomised trials can introduce bias and reduce study power, affecting the generalisability, validity and reliability of results.","Researchers call this 'loss to follow-up', 'drop out' or 'attrition' and it can affect the trial's results.",10.1002/14651858.MR000032.pub2
13,,"We were unable to pool data for dental aesthetics, patient-reported pain and discomfort, periodontal health and treatment time; however, individual studies did not find any differences between the surgical techniques (low- to very low-quality evidence).","We were unable to combine results from studies for any other outcomes, but individual studies did not show evidence of a difference between the two techniques for pain, discomfort, appearance, gum health, length of treatment time or cost (low to very low quality evidence).",10.1002/14651858.CD006966.pub3
14,,"These evaluated social skills programmes versus standard care, or discussion group.",The review found significant differences in favour of social skills programmes compared to standard care on all measures of social functioning.,10.1002/14651858.CD009006.pub2
15,,Milder regimens (using lower doses of steroids) are safe and effective in moderate BP.,Milder regimens of topical steroids are safe and effective in moderate BP.,10.1002/14651858.CD002292.pub3
16,,"Results are based upon the findings of several (five) trials that included an ""open lung ventilation strategy"", whereby the intervention group differed from the control group in aspects other than the recruitment manoeuvre (including co-interventions such as higher PEEP, different modes of ventilation and higher plateau pressure), making interpretation of the results difficult.","We found the evidence for most outcomes to be of low to moderate quality, primarily because of the design of included trials.",10.1002/14651858.CD006667.pub3
17,,To assess the effects of interventions to alter the length of primary care physicians' consultations.,"Does increasing or decreasing the length of time that primary care physicians allocate to each patient consultation benefit patients, doctors, and the healthcare system?",10.1002/14651858.CD003540.pub3
18,,"APD did not differ from CAPD with respect to mortality (RR 1.49, 95% CI 0.51 to 4.37), risk of peritonitis (RR 0.75, 95% CI 0.50 to 1.11), switching from original PD modality to a different dialysis modality (RR 0.50, 95% CI 0.25 to 1.02), hernias (RR 1.26, 95% interval 0.32 to 5.01), PD fluid leaks (RR 1.06, 95% CI 0.11 to 9.83), PD catheter removal (RR 0.64, 95% CI 0.27 to 1.48) or hospital admissions (RR 0.96, 95% CI 0.43 to 2.17).","Only three small randomised controlled trials (RCTs) (139 patients) were identified after an extensive literature search, and we found no difference between CAPD and APD for clinically important outcomes.",10.1002/14651858.CD006515
20,,"Although low-quality evidence suggests that professional oral care could reduce mortality due to pneumonia in nursing home residents when compared to usual care, this finding must be considered with caution.","The evidence for death from any cause was inconclusive, but the studies did suggest that professional mouth care may reduce the number of deaths caused by pneumonia, compared to usual mouth care, when measured after 24 months.",10.1002/14651858.CD012416.pub2
21,,"Treatment with ACEi or ARB (2 studies, 1368 participants: RR 0.90, 95% CI 0.43 to 1.90; I2 = 97%; very low certainty evidence) had uncertain effects on hospitalisation for heart failure, as treatment estimates were consistent with either benefit or harm.","Although there were many different treatments studied, unfortunately, few of them looked at the same type of medicine.",10.1002/14651858.CD012466.pub2
23,,"There was no significant effect on mortality with co-trimoxazole or isoniazid prophylaxis (RR 0.82, 0.46 to 1.46, I2 statistic = 76%, P value = 0.58); however, analysis of one study that used co-trimoxazole showed a significant reduction in mortality (RR 0.67, 95% CI 0.53 to 0.85, P value = 0.001).","Overall there was no improvement in death rates, but there was a marked reduction in hospital admission with antibiotic use in one study.",10.1002/14651858.CD011530.pub2
25,,"For this update, we searched the Cochrane Schizophrenia Group's register of trials (November 2012).",This update is based on a search run in 2012; the review now includes 24 randomised studies with a total of 2126 people.,10.1002/14651858.CD004716.pub4
26,,"NHAP may be caused by aspiration of oropharyngeal flora into the lung, and by failure of the individual's defence mechanisms to eliminate the aspirated bacteria.",Poor oral hygiene is considered to contribute to the likelihood of contracting an infection.,10.1002/14651858.CD012416.pub2
28,,A non-eligible study also found long follow-up time as risk factor.,"Other reported risk factors included follow-up time, and radiation involving the kidney or TBI.",10.1002/14651858.CD008944.pub3
29,,"Though there is insufficient evidence to confirm a better functional outcome, external fixation reduces redisplacement, gives improved anatomical results and most of the excess surgically-related complications are minor.","The complications, such a pin tract infection, associated with external fixation were many but were generally minor.",10.1002/14651858.CD006194.pub2
30,,"We could not say whether more people who had a remote check-up needed oral corticosteroids for an asthma exacerbation than those who were seen face-to-face because the confidence intervals (CIs) were very wide (OR 1.74, 95% CI 0.41 to 7.44; 278 participants; one study; low quality evidence).","We cannot say whether or not people who had a check-up over the phone or internet were more or less likely to need oral corticosteroids for an asthma attack than those seen face-to-face, and we were uncertain of the result for several reasons.",10.1002/14651858.CD011715.pub2
34,,"In less severe cases, non-surgical interventions may be considered, however few medical alternatives are currently available.","In less severe cases, non-surgical interventions may be considered, however few medical alternatives are currently available.",10.1002/14651858.CD006286.pub2
35,,"We included seven studies, with 766 participants: four used intracutaneous injections, two subcutaneous, and one both.","The review included seven studies with 766 participants; four used intracutaneous injections, two subcutaneous, and one both.",10.1002/14651858.CD009107.pub2
38,,Properly designed and executed randomised trials are necessary.,Properly designed and executed randomised trials are necessary.,10.1002/14651858.CD007876.pub2
39,,"External fixation maintained reduced fracture positions (redisplacement requiring secondary treatment: 7/356 versus 51/338 (data from 9 trials); relative risk 0.17, 95% confidence interval 0.09 to 0.32) and prevented late collapse and malunion compared with plaster cast immobilisation.",The review found that external fixation reduced fracture redisplacement that prompted further treatment and generally improved final anatomical outcome.,10.1002/14651858.CD006194.pub2
